N°,DR,wilaya,N°,Wilaya,DR,agence,cat_age,coord_y,coord_x,Coordonnées GPs
81,CHLEF,DJELFA,44,DJELFA,CHLEF,AIN OUESSARA,Proximité,35.454806936929685,2.9037215562026266,"35.454806936929685, 2.9037215562026266"
82,CHLEF,DJELFA,45,DJELFA,CHLEF,DJELFA,Principale,34.66540697151624,3.2553886801273904,"34.66540697151624, 3.2553886801273904"
86,CHLEF,MEDEA,46,MEDEA,CHLEF,MEDEA,Principale,36.265934367565876, 2.759716762754658,"36.265934367565876, 2.759716762754658"
88,CHLEF,RELIZANE,47,RELIZANE,CHLEF,MAZOUNA,Proximité,36.12049114821629,0.8674260151141125,"36.12049114821629, 0.8674260151141125"
90,CHLEF,RELIZANE,48,RELIZANE,CHLEF,RELIZANE,Principale,35.741387067276726,0.5523530175830521,"35.741387067276726, 0.5523530175830521"
91,CHLEF,TIARET,49,TIARET,CHLEF,FRENDA,Proximité,35.06137443485675,1.0447534808074426,"35.06137443485675, 1.0447534808074426"
93,CHLEF,TIARET,50,TIARET,CHLEF,TIARET,Principale,35.37539352854042,1.3143918815211642,"35.37539352854042, 1.3143918815211642"
96,CHLEF,TISSEMSSILT,51,TISSEMSSILT,CHLEF,TISSEMSILT,Principale,35.60681035082666,1.8123317074532557,"35.60681035082666, 1.8123317074532557"
98,CONTE,BATNA,52,BATNA,CONTE,BATNA,Principale,35.543022,6.159878,"35.543022, 6.159878"
102,CONTE,CONSTANTINE,53,CONSTANTINE,CONTE,CONSTANTINE,Principale,36.36510568403585,6.610407012361279,"36.36510568403585, 6.610407012361279"
103,CONTE,CONSTANTINE,54,CONSTANTINE,CONTE,ELKHROUB,Principale,36.26208338350388,6.691380424492037,"36.26208338350388, 6.691380424492037"
109,CONTE,KHENCHLA,55,KHENCHLA,CONTE,KHENCHELA,Principale,35.430899022648354,7.1445918601209994,"35.430899022648354, 7.1445918601209994"
112,CONTE,MILA,56,MILA,CONTE,MILA,Principale,36.45120340581473,6.264475752676238,"36.45120340581473, 6.264475752676238"
114,CONTE,OUM EL BOUAGHI,57,OUM EL BOUAGHI,CONTE,AIN BAIDA,Proximité,35.79371569733567,7.39263858426961,"35.79371569733567, 7.39263858426961"
117,CONTE,OUM EL BOUAGHI,58,OUM EL BOUAGHI,CONTE,OUM EL BOUAGHI,Principale,35.87118625529451,7.108270444179048,"35.87118625529451, 7.108270444179048"
118,ORAN,AIN TIMOUCHENT,59,AIN TIMOUCHENT,ORAN,AIN TIMOUCHENT,Principale,35.291794,-1.140464,"35.291794, -1.140464"
121,ORAN,MASCARA,60,MASCARA,ORAN,MASCARA,Principale,35.39797003569814,0.13377188279176172,"35.39797003569814, 0.13377188279176172"
123,ORAN,MOSTAGANEM,61,MOSTAGANEM,ORAN,MOSTAGANEM,Principale,35.93165290038895,0.09103657102351165,"35.93165290038895, 0.09103657102351165"
131,ORAN,ORAN,62,ORAN,ORAN,ORAN CENTRE,Principale,35.702650440829146,-0.6452328527668197,"35.702650440829146, -0.6452328527668197"
